,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,Iterations,,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,Iterations
0,1.0,3.0,1.03,20.2,700.1066622540741,185.09271034336635,3,,1.0,3.0,1.03,20.2,700.0855917160505,185.0281293635318,11
1,2.0,2.0,1.01,10.432923246712804,699.9999952342104,234.70334298519367,3,,2.0,2.0,1.01,10.433621326106246,699.9881637412235,234.5686090378782,11
2,3.0,2.0,1.03,-6.885272873040893,718.9999997284373,176.0110742035953,3,,3.0,2.0,1.03,-6.879186832414355,718.9952653874966,175.9470324121688,11
3,4.0,2.0,1.01,-17.075102439932326,699.9999982670868,202.10040331401933,3,,4.0,2.0,1.01,-17.068705610472197,699.9883420643531,201.9552016567813,11
4,5.0,0.0,1.0064423928357198,13.735751609543357,-1.332037540191743e-05,3.643093454784763e-06,3,,5.0,0.0,1.0064523945554453,13.736011499489827,-0.009435374433118478,0.006098237083837059,11
5,6.0,0.0,0.9781097937039185,3.6492893123098042,-6.0532747735854593e-05,1.1761641452916279e-05,3,,6.0,0.0,0.978131645142399,3.6502548440431184,-0.029294093807872696,0.020838735893114912,11
6,7.0,0.0,0.9609879103904972,-4.760878426015662,-967.0000770477237,-99.99992142927603,3,,7.0,0.0,0.9610232116137531,-4.759064494769486,-966.9746172218753,-99.96020293291492,11
7,8.0,0.0,0.9485743597224913,-18.635172545576904,0.00010456529649678813,9.046718002711251e-05,3,,8.0,0.0,0.948631735078635,-18.630683837593384,-0.004097824670052993,0.03229422136277803,11
8,9.0,0.0,0.9713536632347738,-32.23656797394919,-1766.9999111970008,-99.99999955136056,3,,9.0,0.0,0.9713930472941782,-32.22911923491134,-1766.9095123202742,-99.94660566439029,11
9,10.0,0.0,0.9834534266978591,-23.821705482873714,-1.6221592861615093e-05,1.3690963107960673e-06,3,,10.0,0.0,0.9834770002090847,-23.815033326882787,-0.029545655048743437,0.018515243959694637,11
10,11.0,0.0,1.0082512108037462,-13.512777684347899,-2.01851778995185e-06,1.0510470697793475e-07,3,,11.0,0.0,1.0082614179310228,-13.506580414561238,-0.008935268421694259,0.004157301654759533,11
