,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,Iterations,,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,Iterations
0,1.0,3.0,1.03,20.2,691.286625265497,97.73237708539618,1,,1.0,3.0,1.03,20.2,1.346450381786678e+63,-5.352144327209533e+62,30
1,2.0,0.0,1.0100075346382393,10.85776134623759,699.9999695822635,29.00000726323477,1,,2.0,0.0,5.884567087739009e+59,5.0165190837811785e+59,-3.861841522714606e+122,4.117531444277673e+123,30
2,3.0,0.0,1.0299832541755976,1.1867538725799456,719.0001136426413,132.00005985883604,1,,3.0,0.0,1.676342776914279e+60,1.771010262277972e+60,-1.1870944385519994e+124,4.8894392669436116e+123,30
3,4.0,0.0,1.0099729032522688,-8.882425561776255,699.9999968074408,96.19996914397558,1,,4.0,0.0,1.6810367794116947e+60,2.0557062148930997e+60,1.5596662354264602e+124,1.0499463844648151e+124,30
4,5.0,0.0,1.020335036516872,13.904785864175857,9.573214570756348e-05,0.0013292379278159788,1,,5.0,0.0,2.3450074433524706e+59,2.17703395528495e+59,3.970198940602307e+122,9.48321724697892e+122,30
5,6.0,0.0,1.0118387139642493,4.301313968690749,6.538263535494658e-05,0.00125401289820217,1,,6.0,0.0,5.882340439586833e+59,4.566683908072865e+59,2.0292933205729113e+123,1.3379241564706977e+124,30
6,7.0,0.0,1.0213240886104051,-3.449703709408297,-966.9997498427111,-99.99781131864513,1,,7.0,0.0,7.271631117524954e+59,6.58151750565253e+59,5.935830958714887e+122,8.518826603753267e+123,30
7,8.0,0.0,1.0095358396270244,-11.462189291977165,0.00024979122063824673,0.0009459367183504337,1,,8.0,0.0,1.1140327150030705e+60,1.1956002163078835e+60,-2.184930368543423e+123,6.375285663747428e+123,30
8,9.0,0.0,1.0025117570407243,-23.603419777614985,-1766.9999175043647,-99.99874995130168,1,,9.0,0.0,1.6547831319906693e+60,1.896597782022364e+60,3.0676504759094793e+124,4.452564779517464e+124,30
9,10.0,0.0,1.0007863331301077,-15.511831983547598,1.5340915305796992e-05,8.248574868978169e-05,1,,10.0,0.0,1.6737747573009092e+60,1.886107826846142e+60,-3.5796032006062654e+124,7.620671728353768e+124,30
10,11.0,0.0,1.015310130434298,-5.394577444393317,-0.00010352980588511551,0.0012790796497456397,1,,11.0,0.0,1.6762828229982116e+60,1.7306231500761754e+60,1.6768693771157692e+124,2.6516708417997078e+124,30
