,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 0, E: 1.56E+00",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 1, E: 2.03E-01",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 2, E: 9.94E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 3, E: 8.02E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 4, E: 2.42E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 5, E: 2.10E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 6, E: 5.79E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 7, E: 4.69E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 8, E: 1.27E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 9, E: 9.77E-04",
0,1.000,3.000,1.030,20.200,678.294,222.707,,,1.000,3.000,1.030,20.200,706.532,98.929,,,1.000,3.000,1.030,20.200,690.946,106.678,,,1.000,3.000,1.030,20.200,692.178,97.743,,,1.000,3.000,1.030,20.200,691.533,99.127,,,1.000,3.000,1.030,20.200,691.376,97.798,,,1.000,3.000,1.030,20.200,691.361,97.992,,,1.000,3.000,1.030,20.200,691.298,97.764,,,1.000,3.000,1.030,20.200,691.304,97.788,,,1.000,3.000,1.030,20.200,691.288,97.747,,
1,2.000,2.000,1.010,10.861,689.207,99.915,,,2.000,2.000,1.010,10.427,708.366,28.604,,,2.000,2.000,1.010,10.839,697.905,45.472,,,2.000,2.000,1.010,10.837,701.962,28.732,,,2.000,2.000,1.010,10.848,699.599,31.904,,,2.000,2.000,1.010,10.856,700.339,29.017,,,2.000,2.000,1.010,10.855,699.936,29.517,,,2.000,2.000,1.010,10.857,700.060,29.006,,,2.000,2.000,1.010,10.857,699.991,29.076,,,2.000,2.000,1.010,10.858,700.011,28.984,,
2,3.000,2.000,1.030,1.178,708.993,226.175,,,3.000,2.000,1.030,0.281,730.030,132.604,,,3.000,2.000,1.030,1.196,718.197,137.446,,,3.000,2.000,1.030,0.997,719.674,131.753,,,3.000,2.000,1.030,1.176,718.823,133.159,,,3.000,2.000,1.030,1.152,719.147,131.915,,,3.000,2.000,1.030,1.181,718.957,132.257,,,3.000,2.000,1.030,1.180,719.034,131.967,,,3.000,2.000,1.030,1.185,718.991,132.038,,,3.000,2.000,1.030,1.185,719.007,131.976,,
3,4.000,2.000,1.010,-8.906,695.226,100.607,,,4.000,2.000,1.010,-10.125,700.709,94.785,,,4.000,2.000,1.010,-8.874,698.714,105.808,,,4.000,2.000,1.010,-9.088,701.196,95.602,,,4.000,2.000,1.010,-8.893,699.614,98.849,,,4.000,2.000,1.010,-8.920,700.327,96.064,,,4.000,2.000,1.010,-8.887,699.908,96.839,,,4.000,2.000,1.010,-8.890,700.076,96.188,,,4.000,2.000,1.010,-8.884,699.981,96.347,,,4.000,2.000,1.010,-8.884,700.016,96.208,,
4,5.000,0.000,1.000,13.897,-14.468,-155.542,,,5.000,0.000,1.020,13.766,11.337,3.529,,,5.000,0.000,1.019,13.899,-1.207,-3.419,,,5.000,0.000,1.020,13.897,1.371,0.096,,,5.000,0.000,1.020,13.901,-0.247,-0.174,,,5.000,0.000,1.020,13.904,0.227,-0.041,,,5.000,0.000,1.020,13.904,-0.039,-0.013,,,5.000,0.000,1.020,13.905,0.040,-0.014,,,5.000,0.000,1.020,13.905,-0.005,-0.001,,,5.000,0.000,1.020,13.905,0.007,-0.003,,
5,6.000,0.000,1.000,4.329,9.517,54.391,,,6.000,0.000,1.012,3.793,4.121,11.707,,,6.000,0.000,1.009,4.285,-5.096,-9.266,,,6.000,0.000,1.012,4.262,4.045,0.942,,,6.000,0.000,1.011,4.293,-1.035,-0.992,,,6.000,0.000,1.012,4.296,0.763,0.076,,,6.000,0.000,1.012,4.299,-0.173,-0.143,,,6.000,0.000,1.012,4.300,0.137,0.000,,,6.000,0.000,1.012,4.301,-0.027,-0.023,,,6.000,0.000,1.012,4.301,0.025,-0.002,,
6,7.000,0.000,1.000,-3.463,-953.834,-215.348,,,7.000,0.000,1.022,-4.168,-987.279,-91.683,,,7.000,0.000,1.017,-3.462,-962.451,-109.942,,,7.000,0.000,1.021,-3.533,-971.594,-97.602,,,7.000,0.000,1.021,-3.459,-966.271,-102.012,,,7.000,0.000,1.021,-3.463,-967.736,-99.622,,,7.000,0.000,1.021,-3.452,-966.895,-100.339,,,7.000,0.000,1.021,-3.452,-967.127,-99.948,,,7.000,0.000,1.021,-3.450,-966.987,-100.058,,,7.000,0.000,1.021,-3.450,-967.023,-99.994,,
7,8.000,0.000,1.000,-11.485,8.688,18.393,,,8.000,0.000,1.010,-12.522,-9.606,6.028,,,8.000,0.000,1.005,-11.456,0.692,-5.245,,,8.000,0.000,1.010,-11.612,-0.125,1.621,,,8.000,0.000,1.009,-11.470,-0.075,-1.183,,,8.000,0.000,1.010,-11.488,0.113,0.295,,,8.000,0.000,1.009,-11.466,-0.040,-0.228,,,8.000,0.000,1.010,-11.467,0.038,0.045,,,8.000,0.000,1.010,-11.463,-0.010,-0.041,,,8.000,0.000,1.010,-11.463,0.009,0.006,,
8,9.000,0.000,1.000,-23.631,-1766.011,-102.168,,,9.000,0.000,1.003,-24.867,-1777.028,-98.441,,,9.000,0.000,1.000,-23.588,-1758.373,-103.538,,,9.000,0.000,1.003,-23.846,-1775.022,-97.171,,,9.000,0.000,1.002,-23.610,-1764.582,-102.279,,,9.000,0.000,1.003,-23.651,-1769.099,-99.254,,,9.000,0.000,1.002,-23.607,-1766.467,-100.579,,,9.000,0.000,1.003,-23.612,-1767.469,-99.839,,,9.000,0.000,1.002,-23.604,-1766.897,-100.127,,,9.000,0.000,1.003,-23.605,-1767.098,-99.969,,
9,10.000,0.000,1.000,-15.495,28.641,67.025,,,10.000,0.000,1.001,-16.759,-13.649,7.560,,,10.000,0.000,0.999,-15.502,-2.912,-4.899,,,10.000,0.000,1.001,-15.727,2.431,0.763,,,10.000,0.000,1.000,-15.521,-0.923,-0.761,,,10.000,0.000,1.001,-15.552,0.755,0.223,,,10.000,0.000,1.001,-15.516,-0.219,-0.195,,,10.000,0.000,1.001,-15.519,0.176,0.054,,,10.000,0.000,1.001,-15.513,-0.045,-0.046,,,10.000,0.000,1.001,-15.513,0.037,0.011,,
