,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 0, E: 1.56E+00",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 1, E: 1.13E-01",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 2, E: 2.19E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 3, E: 1.05E-06",
0,1.000,3.000,1.030,20.200,678.294,222.707,,,1.000,3.000,1.030,20.200,696.417,174.515,,,1.000,3.000,1.030,20.200,700.025,184.881,,,1.000,3.000,1.030,20.200,700.107,185.093,,
1,2.000,2.000,1.010,10.861,689.207,99.915,,,2.000,2.000,1.010,10.551,699.563,213.325,,,2.000,2.000,1.010,10.436,699.990,234.253,,,2.000,2.000,1.010,10.433,700.000,234.703,,
2,3.000,2.000,1.030,1.178,708.993,226.175,,,3.000,2.000,1.030,-5.699,719.032,169.577,,,3.000,2.000,1.030,-6.856,718.999,175.893,,,3.000,2.000,1.030,-6.885,719.000,176.011,,
3,4.000,2.000,1.010,-8.906,695.226,100.607,,,4.000,2.000,1.010,-15.871,699.786,188.739,,,4.000,2.000,1.010,-17.045,699.996,201.818,,,4.000,2.000,1.010,-17.075,700.000,202.100,,
4,5.000,0.000,1.000,13.897,-14.468,-155.542,,,5.000,0.000,1.008,13.780,-0.423,1.347,,,5.000,0.000,1.006,13.737,-0.025,0.008,,,5.000,0.000,1.006,13.736,-0.000,0.000,,
5,6.000,0.000,1.000,4.329,9.517,54.391,,,6.000,0.000,0.982,3.796,-2.891,1.453,,,6.000,0.000,0.978,3.653,-0.105,0.020,,,6.000,0.000,0.978,3.649,-0.000,0.000,,
6,7.000,0.000,1.000,-3.463,-1080.281,-1.970,,,7.000,0.000,0.967,-4.503,-975.123,-90.302,,,7.000,0.000,0.961,-4.755,-967.145,-99.841,,,7.000,0.000,0.961,-4.761,-967.000,-100.000,,
7,8.000,0.000,1.000,-11.485,133.375,6.657,,,8.000,0.000,0.957,-17.667,11.341,5.791,,,8.000,0.000,0.949,-18.612,0.219,0.144,,,8.000,0.000,0.949,-18.635,0.000,0.000,,
8,9.000,0.000,1.000,-23.631,-1766.011,-52.168,,,9.000,0.000,0.975,-30.968,-1763.765,-98.975,,,9.000,0.000,0.971,-32.205,-1766.866,-100.000,,,9.000,0.000,0.971,-32.237,-1767.000,-100.000,,
9,10.000,0.000,1.000,-15.495,28.641,67.025,,,10.000,0.000,0.986,-22.601,-0.695,1.059,,,10.000,0.000,0.983,-23.792,-0.029,0.004,,,10.000,0.000,0.983,-23.822,-0.000,0.000,,
10,11.000,0.000,1.000,-5.411,-9.438,-149.503,,,11.000,0.000,1.009,-12.320,-0.111,1.410,,,11.000,0.000,1.008,-13.483,-0.004,0.002,,,11.000,0.000,1.008,-13.513,-0.000,0.000,,
