,Eigenvalue,Freq (Hz),Damping %,G2,G3,G4
0,(-98.549+0j),0.0,100.0,0.0,0.0,0.0
1,(-96.492+0j),0.0,100.0,0.0,0.0,0.0
2,(-0.1147+6.2167j),0.989,1.845,0.93,1.0,0.0
3,(-0.1147-6.2167j),-0.989,1.845,0.93,1.0,0.0
4,(-0.134+4.2136j),0.671,3.179,0.99,1.0,0.0
5,(-0.134-4.2136j),-0.671,3.179,0.99,1.0,0.0
6,(-7.1756+0j),0.0,100.0,0.0,0.01,0.0
7,(-4.4632+1.0242j),0.163,97.467,0.09,0.25,0.0
8,(-4.4632-1.0242j),-0.163,97.467,0.09,0.25,0.0
9,(-1.8635+0j),0.0,100.0,0.01,0.01,0.0
10,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
11,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
12,0j,0.0,,0.0,0.0,1.0
13,(-94.2803+0j),0.0,100.0,0.0,0.0,0.0
14,(-5.8447+0j),0.0,100.0,0.0,0.0,0.0
15,(-0.086+0.1021j),0.016,64.414,0.0,0.0,0.0
16,(-0.086-0.1021j),-0.016,64.414,0.0,0.0,0.0
17,(-2.5+0j),0.0,100.0,0.0,0.0,0.0
