,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 0, E: 1.55E+00",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 1, E: 3.83E-01",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 2, E: 2.68E-01",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 3, E: 8.75E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 4, E: 8.42E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 5, E: 2.83E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 6, E: 2.51E-02",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 7, E: 9.09E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 8, E: 7.40E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 9, E: 2.89E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 10, E: 2.17E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 11, E: 9.08E-04",
0,1.000,3.000,1.030,20.200,677.814,222.683,,,1.000,3.000,1.030,20.200,702.819,155.521,,,1.000,3.000,1.030,20.200,693.589,172.658,,,1.000,3.000,1.030,20.200,697.707,176.099,,,1.000,3.000,1.030,20.200,698.479,180.985,,,1.000,3.000,1.030,20.200,699.344,182.518,,,1.000,3.000,1.030,20.200,699.643,183.839,,,1.000,3.000,1.030,20.200,699.873,184.325,,,1.000,3.000,1.030,20.200,699.969,184.696,,,1.000,3.000,1.030,20.200,700.035,184.848,,,1.000,3.000,1.030,20.200,700.064,184.955,,,1.000,3.000,1.030,20.200,700.084,185.002,,
1,2.000,2.000,1.010,10.855,691.751,100.211,,,2.000,2.000,1.010,10.366,692.266,167.196,,,2.000,2.000,1.010,10.614,695.384,206.187,,,2.000,2.000,1.010,10.516,698.798,215.934,,,2.000,2.000,1.010,10.484,698.768,226.204,,,2.000,2.000,1.010,10.459,699.610,229.350,,,2.000,2.000,1.010,10.448,699.664,232.134,,,2.000,2.000,1.010,10.441,699.877,233.126,,,2.000,2.000,1.010,10.437,699.905,233.908,,,2.000,2.000,1.010,10.435,699.962,234.219,,,2.000,2.000,1.010,10.434,699.973,234.444,,,2.000,2.000,1.010,10.434,699.988,234.540,,
2,3.000,2.000,1.030,1.184,707.905,226.078,,,3.000,2.000,1.030,-4.094,727.360,155.350,,,3.000,2.000,1.030,-5.121,717.607,166.051,,,3.000,2.000,1.030,-6.109,718.762,168.305,,,3.000,2.000,1.030,-6.421,718.532,172.368,,,3.000,2.000,1.030,-6.660,718.866,173.588,,,3.000,2.000,1.030,-6.751,718.856,174.851,,,3.000,2.000,1.030,-6.817,718.954,175.262,,,3.000,2.000,1.030,-6.845,718.957,175.636,,,3.000,2.000,1.030,-6.864,718.985,175.769,,,3.000,2.000,1.030,-6.873,718.987,175.879,,,3.000,2.000,1.030,-6.878,718.995,175.921,,
3,4.000,2.000,1.010,-8.883,699.577,101.116,,,4.000,2.000,1.010,-14.496,694.224,150.810,,,4.000,2.000,1.010,-15.255,697.007,176.263,,,4.000,2.000,1.010,-16.271,699.033,184.331,,,4.000,2.000,1.010,-16.589,698.880,193.772,,,4.000,2.000,1.010,-16.839,699.655,196.612,,,4.000,2.000,1.010,-16.934,699.657,199.491,,,4.000,2.000,1.010,-17.004,699.886,200.428,,,4.000,2.000,1.010,-17.033,699.899,201.277,,,4.000,2.000,1.010,-17.053,699.963,201.580,,,4.000,2.000,1.010,-17.062,699.970,201.828,,,4.000,2.000,1.010,-17.068,699.988,201.925,,
4,5.000,0.000,1.000,13.903,-11.606,-155.476,,,5.000,0.000,1.011,13.743,0.573,4.077,,,5.000,0.000,1.008,13.809,-2.715,-1.306,,,5.000,0.000,1.008,13.768,-0.930,1.023,,,5.000,0.000,1.007,13.756,-0.905,0.323,,,5.000,0.000,1.007,13.747,-0.321,0.261,,,5.000,0.000,1.007,13.743,-0.253,0.110,,,5.000,0.000,1.007,13.740,-0.100,0.072,,,5.000,0.000,1.007,13.739,-0.072,0.034,,,5.000,0.000,1.006,13.738,-0.031,0.021,,,5.000,0.000,1.006,13.738,-0.021,0.010,,,5.000,0.000,1.006,13.737,-0.009,0.006,,
5,6.000,0.000,1.000,4.300,-2.292,55.042,,,6.000,0.000,0.989,3.733,-34.298,12.144,,,6.000,0.000,0.983,3.908,-11.027,0.285,,,6.000,0.000,0.981,3.767,-3.450,3.391,,,6.000,0.000,0.979,3.723,-2.888,1.023,,,6.000,0.000,0.979,3.687,-0.990,0.911,,,6.000,0.000,0.979,3.672,-0.800,0.340,,,6.000,0.000,0.978,3.662,-0.307,0.252,,,6.000,0.000,0.978,3.657,-0.228,0.106,,,6.000,0.000,0.978,3.654,-0.095,0.072,,,6.000,0.000,0.978,3.653,-0.066,0.032,,,6.000,0.000,0.978,3.652,-0.029,0.021,,
6,7.000,0.000,1.000,-3.452,-1073.869,-3.609,,,7.000,0.000,0.979,-4.241,-949.860,-80.278,,,7.000,0.000,0.969,-4.266,-957.354,-90.606,,,7.000,0.000,0.966,-4.538,-964.468,-93.355,,,7.000,0.000,0.963,-4.621,-964.364,-98.050,,,7.000,0.000,0.962,-4.692,-966.143,-98.246,,,7.000,0.000,0.962,-4.719,-966.288,-99.395,,,7.000,0.000,0.961,-4.739,-966.732,-99.515,,,7.000,0.000,0.961,-4.747,-966.801,-99.811,,,7.000,0.000,0.961,-4.753,-966.917,-99.861,,,7.000,0.000,0.961,-4.756,-966.943,-99.941,,,7.000,0.000,0.961,-4.757,-966.974,-99.960,,
7,8.000,0.000,1.000,-11.462,133.546,6.551,,,8.000,0.000,0.980,-16.833,4.357,38.291,,,8.000,0.000,0.961,-17.403,-1.876,5.661,,,8.000,0.000,0.956,-18.076,-0.265,5.250,,,8.000,0.000,0.952,-18.293,-0.435,1.559,,,8.000,0.000,0.951,-18.468,-0.096,1.373,,,8.000,0.000,0.950,-18.535,-0.144,0.468,,,8.000,0.000,0.949,-18.583,-0.034,0.388,,,8.000,0.000,0.949,-18.604,-0.044,0.148,,,8.000,0.000,0.949,-18.618,-0.012,0.112,,,8.000,0.000,0.949,-18.624,-0.013,0.046,,,8.000,0.000,0.949,-18.629,-0.004,0.033,,
8,9.000,0.000,1.000,-23.603,-1758.109,-54.125,,,9.000,0.000,0.986,-29.234,-1729.367,-98.955,,,9.000,0.000,0.979,-30.197,-1740.249,-92.138,,,9.000,0.000,0.976,-31.319,-1758.252,-93.036,,,9.000,0.000,0.974,-31.673,-1758.584,-98.065,,,9.000,0.000,0.973,-31.963,-1764.174,-97.858,,,9.000,0.000,0.972,-32.070,-1764.487,-99.364,,,9.000,0.000,0.972,-32.152,-1766.091,-99.365,,,9.000,0.000,0.972,-32.186,-1766.260,-99.792,,,9.000,0.000,0.971,-32.209,-1766.711,-99.814,,,9.000,0.000,0.971,-32.220,-1766.783,-99.933,,,9.000,0.000,0.971,-32.227,-1766.909,-99.946,,
9,10.000,0.000,1.000,-15.512,14.039,67.827,,,10.000,0.000,0.992,-21.129,-29.689,6.799,,,10.000,0.000,0.988,-21.942,-7.440,-0.853,,,10.000,0.000,0.986,-22.987,-2.841,1.811,,,10.000,0.000,0.985,-23.314,-2.739,0.576,,,10.000,0.000,0.984,-23.575,-0.897,0.695,,,10.000,0.000,0.984,-23.673,-0.834,0.223,,,10.000,0.000,0.984,-23.746,-0.293,0.215,,,10.000,0.000,0.984,-23.776,-0.247,0.074,,,10.000,0.000,0.984,-23.797,-0.094,0.064,,,10.000,0.000,0.984,-23.807,-0.073,0.024,,,10.000,0.000,0.983,-23.813,-0.030,0.019,,
