,0,1,2,3,4,5,6,7,8,9,10
0,-59.988,0.000,0.000,0.000,59.988,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,-59.988,0.000,0.000,0.000,59.988,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,-59.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.988
3,0.000,0.000,0.000,-59.988,0.000,0.000,0.000,0.000,0.000,59.988,0.000
4,59.988,0.000,0.000,0.000,-99.570,39.604,0.000,0.000,0.000,0.000,0.000
5,0.000,59.988,0.000,0.000,39.604,-198.571,99.010,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,99.010,-114.810,18.002,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,18.002,-35.619,18.002,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.002,-113.310,99.010,0.000
9,0.000,0.000,0.000,59.988,0.000,0.000,0.000,0.000,99.010,-198.571,39.604
10,0.000,0.000,59.988,0.000,0.000,0.000,0.000,0.000,0.000,39.604,-99.570
