,0,1,2,3,4,5,6,7,8,9,10
0,-59.98800239952009j,0j,0j,0j,(-0+59.98800239952009j),0j,0j,0j,0j,0j,0j
1,0j,-59.98800239952009j,0j,0j,0j,(-0+59.98800239952009j),0j,0j,0j,0j,0j
2,0j,0j,-59.98800239952009j,0j,0j,0j,0j,0j,0j,0j,59.98800239952009j
3,0j,0j,0j,-59.98800239952009j,0j,0j,0j,0j,0j,59.98800239952009j,0j
4,59.98800239952009j,0j,0j,0j,(3.96039603960396-99.57008779555969j),(-3.96039603960396+39.603960396039604j),0j,0j,0j,0j,0j
5,0j,59.98800239952009j,0j,0j,(-3.96039603960396+39.603960396039604j),(13.861386138613863-198.5712387856587j),(-9.900990099009903+99.00990099009901j),0j,0j,0j,0j
6,0j,0j,0j,0j,0j,(-9.900990099009903+99.00990099009901j),(11.701170117011703-114.810451170117j),(-1.8001800180018+18.001800180018j),0j,0j,0j
7,0j,0j,0j,0j,0j,0j,(-1.8001800180018+18.001800180018j),(3.6003600360036-35.618600360036005j),(-1.8001800180018+18.001800180018j),0j,0j
8,0j,0j,0j,0j,0j,0j,0j,(-1.8001800180018+18.001800180018j),(11.701170117011703-113.310451170117j),(-9.900990099009903+99.00990099009901j),0j
9,0j,0j,0j,(-0+59.98800239952009j),0j,0j,0j,0j,(-9.900990099009903+99.00990099009901j),(13.861386138613863-198.5712387856587j),(-3.96039603960396+39.603960396039604j)
10,0j,0j,(-0+59.98800239952009j),0j,0j,0j,0j,0j,0j,(-3.96039603960396+39.603960396039604j),(3.96039603960396-99.57008779555969j)
