,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 0, E: 1.55E+00",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 1, E: 1.13E-01",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 2, E: 2.20E-03",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 3, E: 1.06E-06",,Bus,Type,V Result,Angle Result,MW Injected,MVAR Injected,"It: 4, E: 3.34E-13",
0,1.000,3.000,1.030,20.200,677.814,222.683,,,1.000,3.000,1.030,20.200,696.392,174.439,,,1.000,3.000,1.030,20.200,700.022,184.853,,,1.000,3.000,1.030,20.200,700.105,185.067,,,1.000,3.000,1.030,20.200,700.105,185.067,,
1,2.000,2.000,1.010,10.855,691.751,100.211,,,2.000,2.000,1.010,10.552,699.611,213.173,,,2.000,2.000,1.010,10.436,699.990,234.221,,,2.000,2.000,1.010,10.433,700.000,234.676,,,2.000,2.000,1.010,10.433,700.000,234.677,,
2,3.000,2.000,1.030,1.184,707.905,226.078,,,3.000,2.000,1.030,-5.694,719.042,169.522,,,3.000,2.000,1.030,-6.855,718.999,175.866,,,3.000,2.000,1.030,-6.885,719.000,175.986,,,3.000,2.000,1.030,-6.885,719.000,175.986,,
3,4.000,2.000,1.010,-8.883,699.577,101.116,,,4.000,2.000,1.010,-15.865,699.849,188.633,,,4.000,2.000,1.010,-17.044,699.996,201.787,,,4.000,2.000,1.010,-17.074,700.000,202.071,,,4.000,2.000,1.010,-17.074,700.000,202.072,,
4,5.000,0.000,1.000,13.903,-11.606,-155.476,,,5.000,0.000,1.008,13.782,-0.400,1.336,,,5.000,0.000,1.006,13.738,-0.025,0.008,,,5.000,0.000,1.006,13.737,-0.000,0.000,,,5.000,0.000,1.006,13.737,-0.000,0.000,,
5,6.000,0.000,1.000,4.300,-2.292,55.042,,,6.000,0.000,0.982,3.798,-3.301,1.484,,,6.000,0.000,0.978,3.654,-0.109,0.021,,,6.000,0.000,0.978,3.651,-0.000,0.000,,,6.000,0.000,0.978,3.651,-0.000,0.000,,
6,7.000,0.000,1.000,-3.452,-1073.869,-3.609,,,7.000,0.000,0.967,-4.499,-974.798,-90.303,,,7.000,0.000,0.961,-4.753,-967.142,-99.840,,,7.000,0.000,0.961,-4.759,-967.000,-100.000,,,7.000,0.000,0.961,-4.759,-967.000,-100.000,,
7,8.000,0.000,1.000,-11.462,133.546,6.551,,,8.000,0.000,0.957,-17.660,11.348,5.814,,,8.000,0.000,0.949,-18.610,0.220,0.145,,,8.000,0.000,0.949,-18.633,0.000,0.000,,,8.000,0.000,0.949,-18.633,0.000,0.000,,
8,9.000,0.000,1.000,-23.603,-1758.109,-54.125,,,9.000,0.000,0.975,-30.959,-1763.462,-99.016,,,9.000,0.000,0.971,-32.203,-1766.863,-100.000,,,9.000,0.000,0.971,-32.234,-1767.000,-100.000,,,9.000,0.000,0.971,-32.234,-1767.000,-100.000,,
9,10.000,0.000,1.000,-15.512,14.039,67.827,,,10.000,0.000,0.986,-22.594,-1.070,1.072,,,10.000,0.000,0.984,-23.789,-0.031,0.004,,,10.000,0.000,0.983,-23.819,-0.000,0.000,,,10.000,0.000,0.983,-23.819,-0.000,0.000,,
10,11.000,0.000,1.000,-5.394,-5.969,-149.489,,,11.000,0.000,1.009,-12.313,-0.108,1.408,,,11.000,0.000,1.008,-13.481,-0.004,0.002,,,11.000,0.000,1.008,-13.511,-0.000,0.000,,,11.000,0.000,1.008,-13.511,-0.000,-0.000,,
