,Eigenvalue,Freq (Hz),Damping %,G2,G3,G4
0,(-346.9031+0j),0.0,100.0,0.0,0.0,0.0
1,(-346.7585+0j),0.0,100.0,0.0,0.0,0.0
2,(-346.5166+0j),0.0,100.0,0.0,0.0,0.0
3,(-90.1493+0j),0.0,100.0,0.0,0.0,0.0
4,(-92.778+0j),0.0,100.0,0.0,0.0,0.0
5,(-92.6222+0j),0.0,100.0,0.0,0.0,0.0
6,(-2.2652+6.5078j),1.036,32.873,0.03,0.72,1.0
7,(-2.2652-6.5078j),-1.036,32.873,0.03,0.72,1.0
8,(-1.7137+5.4584j),0.869,29.955,1.0,0.06,0.0
9,(-1.7137-5.4584j),-0.869,29.955,1.0,0.06,0.0
10,(-6.0152+1.5108j),0.24,96.988,0.01,0.01,0.07
11,(-6.0152-1.5108j),-0.24,96.988,0.01,0.01,0.07
12,(-5.8733+0j),0.0,100.0,0.03,0.0,0.0
13,(-6.079+0j),0.0,100.0,0.0,0.0,0.0
14,(-0.4402+2.4747j),0.394,17.514,0.12,1.0,0.92
15,(-0.4402-2.4747j),-0.394,17.514,0.12,1.0,0.92
16,(-2.7802+0j),0.0,100.0,0.19,0.01,0.0
17,(-1.9368+0j),0.0,100.0,0.0,0.07,0.11
18,(-0.1004+0j),0.0,100.0,0.0,0.0,0.0
19,(-0.1004+0.0001j),0.0,100.0,0.0,0.0,0.0
20,(-0.1004-0.0001j),-0.0,100.0,0.0,0.0,0.0
21,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
22,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
23,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
