,Eigenvalue,Freq (Hz),Damping %,G2,G3,G4
0,(-93.6187+0j),0.0,100.0,0.0,0.0,0.0
1,(-97.1766+0j),0.0,100.0,0.0,0.0,0.0
2,(-97.8482+0j),0.0,100.0,0.0,0.0,0.0
3,(-0.4755+6.9218j),1.102,6.853,0.02,0.71,1.0
4,(-0.4755-6.9218j),-1.102,6.853,0.02,0.71,1.0
5,(-0.3481+6.0437j),0.962,5.751,1.0,0.05,0.0
6,(-0.3481-6.0437j),-0.962,5.751,1.0,0.05,0.0
7,(-0.2442+2.9043j),0.462,8.38,0.12,0.99,0.87
8,(-0.2442-2.9043j),-0.462,8.38,0.12,0.99,0.87
9,(-4.869+2.0239j),0.322,92.34,0.02,0.03,0.12
10,(-4.869-2.0239j),-0.322,92.34,0.02,0.03,0.12
11,(-6.0666+0j),0.0,100.0,0.0,0.0,0.01
12,(-5.6557+0j),0.0,100.0,0.05,0.0,0.0
13,(-2.4762+0j),0.0,100.0,0.08,0.02,0.0
14,(-1.8257+0j),0.0,100.0,0.0,0.02,0.03
15,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
16,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
17,(-0.01+0j),0.0,100.0,0.0,0.0,0.0
